   Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
BS              ,    0 00 05 ,   92 54 22,          0,      0.000,      0.000,            0,            0,          0
0002            ,  176 46 56 ,   70 31 00,     21.124,      0.000,      0.000,        1.118,      -19.883,      7.045
0003            ,  133 08 51 ,   93 59 13,     24.388,      0.000,      0.000,       17.750,      -16.638,     -1.696
0004            ,  138 37 36 ,   90 34 35,     23.685,      0.000,      0.000,       15.654,      -17.773,     -0.238
0005            ,  143 13 04 ,   88 51 06,     22.277,      0.000,      0.000,       13.336,      -17.838,      0.446
0006            ,  145 50 12 ,   86 52 53,     21.649,      0.000,      0.000,       12.139,      -17.887,      1.178
0007            ,  154 26 24 ,   82 41 09,     20.519,      0.000,      0.000,        8.781,      -18.360,      2.612
0008            ,  165 23 25 ,   78 46 36,     19.988,      0.000,      0.000,        4.945,      -18.971,      3.890
0009            ,  176 42 35 ,   76 01 43,     19.580,      0.000,      0.000,        1.091,      -18.970,      4.727
0010            ,  185 09 14 ,   77 14 57,     20.233,      0.000,      0.000,       -1.773,      -19.654,      4.466
0011            ,  194 20 33 ,   79 38 55,     20.400,      0.000,      0.000,       -4.971,      -19.442,      3.666
0012            ,  204 43 36 ,   83 49 49,     21.233,      0.000,      0.000,       -8.830,      -19.175,      2.282
0013            ,  212 58 37 ,   87 10 31,     23.385,      0.000,      0.000,      -12.713,      -19.593,      1.152
0014            ,  219 44 59 ,   89 08 02,     25.122,      0.000,      0.000,      -16.062,      -19.313,      0.380
0015            ,  226 51 30 ,   90 10 15,     27.470,      0.000,      0.000,      -20.044,      -18.784,     -0.082
0016            ,  221 40 47 ,   91 08 26,     23.037,      0.000,      0.000,      -15.316,      -17.202,     -0.459
0017            ,  213 16 59 ,   91 39 56,     20.542,      0.000,      0.000,      -11.268,      -17.165,     -0.597
0018            ,  202 35 44 ,   93 01 37,     17.928,      0.000,      0.000,       -6.879,      -16.529,     -0.947
0019            ,  186 47 15 ,   94 17 10,     16.429,      0.000,      0.000,       -1.936,      -16.268,     -1.228
0020            ,  171 26 26 ,   95 06 12,     16.504,      0.000,      0.000,        2.447,      -16.256,     -1.468
0021            ,  159 47 03 ,   95 26 30,     17.506,      0.000,      0.000,        6.022,      -16.354,     -1.660
0022            ,  155 02 59 ,   94 32 17,     17.647,      0.000,      0.000,        7.421,      -15.950,     -1.396
0023            ,  150 18 45 ,   92 44 59,     18.816,      0.000,      0.000,        9.308,      -16.327,     -0.903
0024            ,  141 35 16 ,   93 30 34,     20.466,      0.000,      0.000,       12.692,      -16.006,     -1.253
0025            ,  133 36 43 ,   93 58 08,     24.265,      0.000,      0.000,       17.527,      -16.697,     -1.680
0026            ,  141 13 07 ,   90 38 04,     22.578,      0.000,      0.000,       14.141,      -17.599,     -0.250
0027            ,  143 55 21 ,   92 03 51,     20.963,      0.000,      0.000,       12.337,      -16.932,     -0.755
0028            ,  147 04 05 ,   89 31 27,     20.966,      0.000,      0.000,       11.398,      -17.597,      0.174
0029            ,  152 31 15 ,   85 02 56,     20.337,      0.000,      0.000,        9.349,      -17.976,      1.755
