   Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
ADG             ,  359 59 58 ,   89 11 26,          0,      0.000,      0.000,            0,            0,          0
2               ,  347 34 53 ,   94 57 40,      7.873,      0.000,      0.000,       -1.687,        7.660,     -0.681
3               ,    3 17 32 ,   94 51 04,      7.144,      0.000,      0.000,        0.409,        7.107,     -0.604
4               ,   21 25 55 ,   93 00 48,      7.918,      0.000,      0.000,        2.889,        7.360,     -0.416
5               ,   45 38 33 ,   90 48 13,      9.954,      0.000,      0.000,        7.116,        6.959,     -0.140
6               ,   40 08 22 ,   90 07 24,     11.994,      0.000,      0.000,        7.732,        9.169,     -0.026
7               ,   33 24 11 ,   90 07 21,     13.708,      0.000,      0.000,        7.547,       11.444,     -0.029
8               ,   26 32 26 ,   90 07 09,     16.832,      0.000,      0.000,        7.521,       15.059,     -0.035
9               ,   20 18 35 ,   89 58 39,     21.854,      0.000,      0.000,        7.586,       20.496,      0.009
10              ,   45 57 13 ,   90 56 19,      9.927,      0.000,      0.000,        7.134,        6.901,     -0.163
11              ,   56 26 00 ,   98 02 04,      9.299,      0.000,      0.000,        7.673,        5.091,     -1.300
12              ,   46 28 48 ,  100 21 58,      7.232,      0.000,      0.000,        5.159,        4.899,     -1.301
13              ,   35 14 49 ,  102 37 52,      6.047,      0.000,      0.000,        3.405,        4.819,     -1.322
14              ,   17 49 50 ,  103 19 38,      5.773,      0.000,      0.000,        1.720,        5.348,     -1.331
15              ,    0 52 03 ,  104 25 39,      5.467,      0.000,      0.000,        0.080,        5.294,     -1.362
16              ,  340 58 07 ,  101 47 23,      6.449,      0.000,      0.000,       -2.058,        5.968,     -1.318
17              ,  356 06 57 ,   98 42 00,      6.588,      0.000,      0.000,       -0.441,        6.497,     -0.996
18              ,   12 54 13 ,   97 50 28,      6.689,      0.000,      0.000,        1.480,        6.460,     -0.913
19              ,   28 52 35 ,   96 22 43,      7.275,      0.000,      0.000,        3.492,        6.331,     -0.808
20              ,   45 05 21 ,   94 51 48,      8.433,      0.000,      0.000,        5.951,        5.932,     -0.715
21              ,   51 03 00 ,   93 47 02,      9.929,      0.000,      0.000,        7.705,        6.228,     -0.655
22              ,   55 00 19 ,   95 17 24,     11.076,      0.000,      0.000,        9.034,        6.325,     -1.021
23              ,   65 56 46 ,   92 31 48,     15.546,      0.000,      0.000,       14.182,        6.330,     -0.686
24              ,   73 48 48 ,   90 49 04,     21.354,      0.000,      0.000,       20.506,        5.952,     -0.305
25              ,   77 35 47 ,   89 30 04,     28.331,      0.000,      0.000,       27.669,        6.085,      0.247
26              ,   78 36 14 ,   89 03 20,     36.023,      0.000,      0.000,       35.308,        7.117,      0.594
27              ,   79 00 55 ,   89 41 39,     30.545,      0.000,      0.000,       29.985,        5.820,      0.163
28              ,   74 56 57 ,   91 44 58,     20.499,      0.000,      0.000,       19.786,        5.321,     -0.626
29              ,   68 51 48 ,   93 40 44,     15.488,      0.000,      0.000,       14.416,        5.573,     -0.994
30              ,   62 04 47 ,   96 11 18,     11.659,      0.000,      0.000,       10.242,        5.427,     -1.257
31              ,   58 09 17 ,   97 24 02,     10.034,      0.000,      0.000,        8.452,        5.250,     -1.292
32              ,   50 54 26 ,   89 13 35,     47.550,      0.000,      0.000,       36.901,       29.981,      0.642
33              ,   49 15 01 ,   89 30 00,     41.864,      0.000,      0.000,       31.714,       27.326,      0.365
34              ,   48 40 17 ,   89 36 42,     39.697,      0.000,      0.000,       29.809,       26.214,      0.269
35              ,   48 56 34 ,   89 53 02,     34.711,      0.000,      0.000,       26.174,       22.799,      0.070
