   Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
GDMPJ           ,    0 00 02 ,   89 57 13,          0,      0.000,      0.000,            0,            0,          0
2               ,  207 11 58 ,   86 48 31,     11.470,      0.000,      0.000,       -5.235,      -10.186,      0.639
3               ,  344 18 16 ,  100 08 43,     18.873,      0.000,      0.000,       -5.026,       17.885,     -3.324
4               ,  331 46 48 ,  113 05 09,      8.522,      0.000,      0.000,       -3.707,        6.908,     -3.342
5               ,  301 26 31 ,  128 16 08,      5.392,      0.000,      0.000,       -3.612,        2.208,     -3.340
6               ,  244 33 01 ,  133 02 48,      2.019,      0.000,      0.000,       -1.332,       -0.634,     -1.378
7               ,  195 08 29 ,  106 39 50,      4.846,      0.000,      0.000,       -1.213,       -4.482,     -1.390
8               ,  187 26 42 ,   99 06 58,      8.764,      0.000,      0.000,       -1.121,       -8.581,     -1.389
9               ,  183 37 00 ,   96 05 44,     13.133,      0.000,      0.000,       -0.824,      -13.032,     -1.395
10              ,  183 37 05 ,   96 05 41,          0,      0.000,      0.000,            0,            0,          0
11              ,   99 10 30 ,   58 21 43,     27.218,      0.000,      0.000,       22.876,       -3.695,     14.277
12              ,  100 54 19 ,   54 05 13,     24.336,      0.000,      0.000,       19.354,       -3.729,     14.274
13              ,   69 49 29 ,   59 25 56,     28.109,      0.000,      0.000,       22.718,        8.347,     14.295
14              ,   67 58 07 ,   57 14 55,     26.457,      0.000,      0.000,       20.626,        8.347,     14.313
15              ,   38 01 17 ,   66 50 27,     36.334,      0.000,      0.000,       20.576,       26.316,     14.290
16              ,   26 20 12 ,   72 53 30,     48.523,      0.000,      0.000,       20.574,       41.562,     14.274
17              ,   17 45 21 ,   77 42 29,     67.020,      0.000,      0.000,       19.970,       62.364,     14.268
18              ,  352 29 15 ,   96 36 00,     10.425,      0.000,      0.000,       -1.354,       10.267,     -1.198
19              ,  346 42 38 ,  102 13 10,      6.328,      0.000,      0.000,       -1.422,        6.019,     -1.339
20              ,  336 50 19 ,  110 47 37,      3.757,      0.000,      0.000,       -1.382,        3.229,     -1.334
21              ,  351 57 12 ,   99 29 38,      8.250,      0.000,      0.000,       -1.139,        8.057,     -1.361
22              ,    3 31 52 ,   99 32 59,      8.534,      0.000,      0.000,        0.518,        8.400,     -1.416
