   Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
ADG             ,  359 59 59 ,   89 22 14,          0,      0.000,      0.000,            0,            0,          0
2               ,  266 22 27 ,   95 29 24,     32.523,      0.000,      0.000,      -32.309,       -2.047,     -3.112
3               ,  265 53 24 ,   96 12 29,     28.637,      0.000,      0.000,      -28.396,       -2.040,     -3.097
4               ,  266 46 23 ,   97 19 11,     23.895,      0.000,      0.000,      -23.662,       -1.334,     -3.044
5               ,  265 41 42 ,   99 09 03,     16.207,      0.000,      0.000,      -15.955,       -1.201,     -2.577
6               ,  262 36 29 ,  103 56 17,      8.556,      0.000,      0.000,       -8.235,       -1.068,     -2.061
7               ,  261 10 50 ,  108 36 00,      5.779,      0.000,      0.000,       -5.413,       -0.840,     -1.843
8               ,  256 08 57 ,  117 22 58,      3.633,      0.000,      0.000,       -3.132,       -0.772,     -1.671
9               ,  234 10 12 ,  133 54 38,      2.256,      0.000,      0.000,       -1.318,       -0.951,     -1.565
10              ,  135 10 13 ,  133 55 04,      2.029,      0.000,      0.000,        1.030,       -1.036,     -1.407
11              ,  110 53 16 ,  112 31 15,      3.284,      0.000,      0.000,        2.834,       -1.082,     -1.258
12              ,  266 44 24 ,   95 13 44,     33.260,      0.000,      0.000,      -33.068,       -1.884,     -3.031
13              ,  269 00 57 ,   94 26 28,     31.759,      0.000,      0.000,      -31.659,       -0.544,     -2.459
14              ,  271 41 24 ,   93 12 49,     29.989,      0.000,      0.000,      -29.929,        0.883,     -1.681
15              ,  274 13 22 ,   93 03 22,     25.322,      0.000,      0.000,      -25.217,        1.862,     -1.350
16              ,  278 08 58 ,   92 52 59,     24.663,      0.000,      0.000,      -24.383,        3.492,     -1.241
17              ,  283 03 59 ,   92 50 53,     24.953,      0.000,      0.000,      -24.277,        5.634,     -1.240
18              ,  287 53 23 ,   92 50 34,     25.510,      0.000,      0.000,      -24.246,        7.827,     -1.265
19              ,  290 29 38 ,   92 54 07,     26.968,      0.000,      0.000,      -25.229,        9.430,     -1.365
20              ,  292 59 27 ,   92 54 22,     27.384,      0.000,      0.000,      -25.177,       10.682,     -1.388
21              ,  295 35 09 ,   92 49 54,     27.573,      0.000,      0.000,      -24.839,       11.893,     -1.362
22              ,  298 14 53 ,   92 09 34,     27.509,      0.000,      0.000,      -24.215,       13.010,     -1.037
23              ,  303 28 10 ,   92 02 55,     29.109,      0.000,      0.000,      -24.267,       16.043,     -1.041
24              ,  310 16 43 ,   91 49 50,     31.570,      0.000,      0.000,      -24.073,       20.400,     -1.008
25              ,  306 59 48 ,   93 17 36,     30.209,      0.000,      0.000,      -24.087,       18.149,     -1.735
26              ,  303 11 11 ,   93 17 27,     28.863,      0.000,      0.000,      -24.116,       15.773,     -1.657
27              ,  299 13 44 ,   93 17 26,     27.732,      0.000,      0.000,      -24.161,       13.519,     -1.592
28              ,  295 49 37 ,   93 17 27,     27.080,      0.000,      0.000,      -24.335,       11.778,     -1.554
29              ,  289 28 25 ,   93 37 59,     25.737,      0.000,      0.000,      -24.216,        8.563,     -1.631
30              ,  285 24 24 ,   93 37 56,     25.216,      0.000,      0.000,      -24.261,        6.686,     -1.597
31              ,  280 19 33 ,   93 58 34,     24.754,      0.000,      0.000,      -24.294,        4.426,     -1.716
32              ,  276 39 11 ,   93 58 36,     24.624,      0.000,      0.000,      -24.399,        2.846,     -1.708
