   Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
ADG             ,    0 00 03 ,   90 09 28,          0,      0.000,      0.000,            0,            0,          0
2               ,   17 42 43 ,   89 57 11,     86.985,      1.800,      0.000,       26.464,       82.862,     -1.728
3               ,   12 09 27 ,   90 16 12,     84.394,      1.800,      0.000,       17.773,       82.500,     -2.198
4               ,    6 51 24 ,   90 27 55,     83.021,      1.800,      0.000,        9.912,       82.424,     -2.474
5               ,    1 36 50 ,   90 47 59,     82.058,      1.800,      0.000,        2.311,       82.018,     -2.945
6               ,  358 43 40 ,   90 51 18,     82.248,      1.800,      0.000,       -1.826,       82.219,     -3.027
7               ,  358 23 35 ,   90 21 59,     81.838,      1.800,      0.000,       -2.295,       81.804,     -2.323
8               ,  354 50 07 ,   90 40 59,     82.336,      1.800,      0.000,       -7.411,       81.996,     -2.781
9               ,  351 31 18 ,   91 01 52,     83.229,      1.800,      0.000,      -12.269,       82.306,     -3.298
10              ,  347 57 19 ,   91 17 29,     84.294,      1.800,      0.000,      -17.585,       82.417,     -3.699
11              ,  345 36 47 ,   91 32 15,     70.728,      1.800,      0.000,      -17.567,       68.485,     -3.698
12              ,  350 38 45 ,   91 07 44,     68.464,      1.800,      0.000,      -11.126,       67.540,     -3.149
13              ,  357 58 15 ,   90 23 22,     67.416,      1.800,      0.000,       -2.387,       67.373,     -2.258
14              ,  358 46 51 ,   91 09 51,     67.497,      1.800,      0.000,       -1.436,       67.468,     -3.171
15              ,    7 02 39 ,   90 45 32,     68.052,      1.800,      0.000,        8.345,       67.533,     -2.701
16              ,   14 07 04 ,   90 23 26,     70.334,      1.800,      0.000,       17.155,       68.208,     -2.279
17              ,   21 27 30 ,   89 56 11,     73.915,      1.800,      0.000,       27.040,       68.791,     -1.718
18              ,   26 25 16 ,   89 54 53,     61.136,      1.800,      0.000,       27.203,       54.750,     -1.709
19              ,   16 41 53 ,   90 31 18,     56.521,      1.800,      0.000,       16.240,       54.135,     -2.314
20              ,    6 52 52 ,   91 02 00,     54.145,      1.800,      0.000,        6.486,       53.746,     -2.776
21              ,  358 33 51 ,   91 28 00,     53.603,      1.800,      0.000,       -1.342,       53.569,     -3.172
22              ,  357 47 51 ,   90 17 51,     53.793,      1.800,      0.000,       -2.067,       53.752,     -2.079
23              ,  350 52 15 ,   91 02 25,     54.659,      1.800,      0.000,       -8.671,       53.957,     -2.792
24              ,  344 51 06 ,   91 33 20,     56.487,      1.800,      0.000,      -14.755,       54.504,     -3.333
25              ,  342 55 04 ,   91 29 52,     57.056,      1.800,      0.000,      -16.754,       54.520,     -3.291
26              ,  342 43 20 ,   91 21 18,     57.096,      1.800,      0.000,      -16.953,       54.504,     -3.150
27              ,  335 48 59 ,   90 32 06,     42.495,      1.800,      0.000,      -17.408,       38.764,     -2.197
28              ,  334 15 28 ,   92 16 59,     38.193,      1.800,      0.000,      -16.575,       34.375,     -3.322
29              ,  332 49 10 ,   90 07 28,     38.248,      1.800,      0.000,      -17.471,       34.024,     -1.883
30              ,  326 28 41 ,   91 19 29,     32.260,      1.800,      0.000,      -17.811,       26.888,     -2.546
31              ,  327 16 56 ,   92 38 35,     31.199,      1.800,      0.000,      -16.845,       26.221,     -3.239
32              ,  320 06 48 ,   93 24 43,     25.658,      1.800,      0.000,      -16.425,       19.653,     -3.327
33              ,  326 03 29 ,   93 14 28,     23.691,      1.800,      0.000,      -13.207,       19.623,     -3.139
34              ,  327 44 59 ,   91 49 03,     22.652,      1.800,      0.000,      -12.082,       19.148,     -2.518
35              ,  334 51 41 ,   92 46 01,     21.757,      1.800,      0.000,       -9.232,       19.673,     -2.850
36              ,  344 24 07 ,   92 05 30,     21.780,      1.800,      0.000,       -5.853,       20.964,     -2.595
37              ,  354 20 06 ,   91 08 35,     20.898,      1.800,      0.000,       -2.062,       20.792,     -2.217
38              ,  355 16 44 ,   91 06 13,     25.825,      1.800,      0.000,       -2.125,       25.733,     -2.297
39              ,  355 56 20 ,   90 56 20,     32.300,      1.800,      0.000,       -2.287,       32.215,     -2.329
40              ,  349 35 17 ,   91 26 07,     33.210,      1.800,      0.000,       -6.000,       32.653,     -2.632
41              ,  341 12 21 ,   92 03 03,     34.566,      1.800,      0.000,      -11.129,       32.702,     -3.037
42              ,  334 53 55 ,   92 25 53,     36.195,      1.800,      0.000,      -15.341,       32.747,     -3.335
43              ,  357 35 15 ,   92 18 37,     33.368,      1.800,      0.000,       -1.403,       33.312,     -3.145
44              ,  357 16 35 ,   92 40 19,     29.096,      1.800,      0.000,       -1.381,       29.032,     -3.156
45              ,  356 34 13 ,   93 28 07,     22.420,      1.800,      0.000,       -1.339,       22.339,     -3.156
46              ,   12 24 05 ,   92 17 58,     22.768,      1.800,      0.000,        4.886,       22.219,     -2.714
47              ,   10 52 49 ,   91 57 49,     29.192,      1.800,      0.000,        5.507,       28.650,     -2.800
48              ,    8 38 05 ,   91 32 40,     37.896,      1.800,      0.000,        5.688,       37.453,     -2.821
49              ,   18 58 36 ,   90 55 40,     40.432,      1.800,      0.000,       13.146,       38.229,     -2.455
50              ,   24 10 12 ,   91 06 37,     32.981,      1.800,      0.000,       13.502,       30.084,     -2.439
51              ,   33 00 12 ,   91 24 51,     25.146,      1.800,      0.000,       13.692,       21.082,     -2.421
52              ,   45 13 47 ,   90 37 47,     28.423,      1.800,      0.000,       20.178,       20.016,     -2.112
53              ,   33 13 50 ,   90 29 47,     36.546,      1.800,      0.000,       20.027,       30.569,     -2.117
54              ,   26 26 21 ,   90 24 35,     44.843,      1.800,      0.000,       19.966,       40.152,     -2.121
55              ,   34 09 22 ,   89 53 55,     48.443,      1.800,      0.000,       27.199,       40.087,     -1.714
56              ,   41 48 38 ,   89 53 04,     40.916,      1.800,      0.000,       27.277,       30.496,     -1.717
57              ,   54 19 06 ,   89 50 20,     33.530,      1.800,      0.000,       27.236,       19.558,     -1.706
58              ,   55 02 59 ,   92 50 16,     32.918,      0.000,      0.000,       26.948,       18.834,     -1.630
59              ,   48 00 17 ,   93 16 10,     28.066,      0.000,      0.000,       20.825,       18.747,     -1.601
60              ,   37 52 04 ,   93 37 06,     23.688,      0.000,      0.000,       14.512,       18.663,     -1.495
61              ,   26 02 58 ,   93 48 24,     21.425,      0.000,      0.000,        9.388,       19.206,     -1.422
62              ,   10 54 17 ,   93 56 31,     19.716,      0.000,      0.000,        3.721,       19.314,     -1.355
63              ,  355 52 34 ,   93 53 53,     18.660,      0.000,      0.000,       -1.339,       18.569,     -1.269
64              ,  353 41 23 ,   91 52 23,     17.278,      0.000,      0.000,       -1.898,       17.164,     -0.565
65              ,  341 15 13 ,   88 37 07,     19.534,      1.800,      0.000,       -6.276,       18.492,     -1.329
66              ,  332 13 14 ,   90 25 32,     20.973,      1.800,      0.000,       -9.775,       18.556,     -1.956
67              ,  323 28 38 ,   91 55 26,     22.381,      1.800,      0.000,      -13.312,       17.976,     -2.551
68              ,  318 48 14 ,   92 29 12,     25.066,      1.800,      0.000,      -16.494,       18.843,     -2.888
69              ,  317 59 20 ,   91 51 09,     25.104,      1.800,      0.000,      -16.793,       18.643,     -2.612
70              ,  316 10 22 ,   92 06 33,     26.002,      1.800,      0.000,      -17.994,       18.746,     -2.757
71              ,  308 43 07 ,   92 10 45,     23.058,      1.800,      0.000,      -17.978,       14.413,     -2.677
72              ,  286 01 08 ,   91 49 01,     18.735,      1.800,      0.000,      -17.999,        5.168,     -2.394
73              ,  244 35 21 ,   92 45 32,     19.911,      1.800,      0.000,      -17.964,       -8.534,     -2.758
74              ,  220 28 51 ,   91 26 45,     27.646,      1.800,      0.000,      -17.942,      -21.022,     -2.498
75              ,  308 00 11 ,   95 55 27,     21.340,      0.000,      0.000,      -16.725,       13.069,     -2.203
76              ,  308 54 22 ,   97 41 28,     20.787,      0.000,      0.000,      -16.030,       12.938,     -2.782
77              ,  315 36 55 ,   97 35 12,     13.863,      0.000,      0.000,       -9.612,        9.820,     -1.830
78              ,  326 04 10 ,   96 41 01,      9.434,      0.000,      0.000,       -5.230,        7.775,     -1.098
79              ,  343 07 39 ,   94 49 52,      6.587,      0.000,      0.000,       -1.905,        6.281,     -0.555
80              ,  347 31 00 ,  101 36 23,      6.413,      0.000,      0.000,       -1.358,        6.134,     -1.290
81              ,  324 40 14 ,  119 03 07,      2.682,      0.000,      0.000,       -1.356,        1.913,     -1.302
82              ,  313 15 19 ,  102 34 27,      2.687,      0.000,      0.000,       -1.910,        1.797,     -0.585
83              ,  299 26 28 ,  100 48 06,      5.104,      0.000,      0.000,       -4.366,        2.464,     -0.957
84              ,  294 32 16 ,  100 13 42,      8.344,      0.000,      0.000,       -7.470,        3.410,     -1.482
85              ,  292 13 06 ,   99 32 36,     17.099,      0.000,      0.000,      -15.611,        6.376,     -2.835
86              ,  292 13 09 ,   96 00 36,     18.278,      0.000,      0.000,      -16.827,        6.874,     -1.914
87              ,  277 30 11 ,   96 23 51,     17.098,      0.000,      0.000,      -16.846,        2.219,     -1.905
88              ,  277 30 11 ,   99 47 06,     16.411,      0.000,      0.000,      -16.033,        2.112,     -2.789
89              ,  279 04 04 ,  100 36 34,     10.814,      0.000,      0.000,      -10.496,        1.675,     -1.991
90              ,  285 01 16 ,  101 35 50,      5.359,      0.000,      0.000,       -5.070,        1.360,     -1.077
91              ,  296 19 57 ,  105 00 35,      2.221,      0.000,      0.000,       -1.922,        0.951,     -0.575
92              ,  232 55 45 ,  102 59 56,      2.479,      0.000,      0.000,       -1.927,       -1.456,     -0.558
93              ,  253 42 29 ,  101 08 56,      5.297,      0.000,      0.000,       -4.989,       -1.458,     -1.024
94              ,  260 17 17 ,  100 18 10,      9.253,      0.000,      0.000,       -8.973,       -1.536,     -1.655
95              ,  262 27 04 ,   99 47 17,     16.168,      0.000,      0.000,      -15.795,       -2.093,     -2.749
96              ,  262 34 13 ,   97 04 10,     17.062,      0.000,      0.000,      -16.790,       -2.189,     -2.100
97              ,  218 09 08 ,  124 28 41,      2.349,      0.000,      0.000,       -1.196,       -1.523,     -1.330
98              ,  318 10 19 ,  124 28 24,      2.343,      0.000,      0.000,       -1.288,        1.440,     -1.326
99              ,  346 05 34 ,  104 03 48,      5.342,      0.000,      0.000,       -1.246,        5.030,     -1.298
100             ,  352 55 17 ,   97 02 26,     10.814,      0.000,      0.000,       -1.323,       10.651,     -1.326
101             ,    7 07 05 ,   95 31 20,     14.344,      0.000,      0.000,        1.769,       14.167,     -1.380
102             ,   10 47 36 ,   99 00 29,      8.858,      0.000,      0.000,        1.638,        8.594,     -1.387
103             ,   22 19 09 ,  113 41 40,      3.384,      0.000,      0.000,        1.177,        2.866,     -1.360
104             ,  111 10 44 ,  136 32 58,      1.921,      0.000,      0.000,        1.232,       -0.477,     -1.394
105             ,  145 19 35 ,  121 26 38,      2.643,      0.000,      0.000,        1.283,       -1.854,     -1.379
106             ,  104 46 15 ,  100 38 43,      7.810,      0.000,      0.000,        7.422,       -1.957,     -1.443
107             ,   76 39 55 ,  100 34 07,      7.785,      0.000,      0.000,        7.446,        1.765,     -1.428
108             ,   58 14 29 ,   98 42 04,      9.174,      0.000,      0.000,        7.711,        4.773,     -1.388
109             ,   47 04 00 ,   96 47 35,     12.265,      0.000,      0.000,        8.917,        8.296,     -1.451
110             ,   40 33 01 ,   95 03 40,     16.714,      0.000,      0.000,       10.824,       12.650,     -1.474
111             ,   37 01 38 ,   94 12 54,     20.319,      0.000,      0.000,       12.203,       16.178,     -1.493
112             ,   48 32 52 ,   93 23 47,     26.030,      0.000,      0.000,       19.475,       17.201,     -1.542
113             ,   53 49 45 ,   93 46 38,     23.819,      0.000,      0.000,       19.187,       14.027,     -1.569
114             ,   64 41 08 ,   94 25 50,     20.525,      0.000,      0.000,       18.499,        8.750,     -1.586
115             ,   74 27 12 ,   95 05 56,     17.306,      0.000,      0.000,       16.607,        4.620,     -1.538
116             ,   88 56 03 ,   95 23 13,     16.573,      0.000,      0.000,       16.497,        0.307,     -1.556
117             ,   96 42 08 ,   95 01 34,     18.137,      0.000,      0.000,       17.944,       -2.109,     -1.589
118             ,   95 12 42 ,   93 27 00,     27.267,      0.000,      0.000,       27.105,       -2.472,     -1.641
119             ,   90 13 21 ,   93 28 41,     26.832,      0.000,      0.000,       26.783,       -0.104,     -1.628
120             ,   83 56 25 ,   93 26 45,     27.224,      0.000,      0.000,       27.022,        2.869,     -1.636
121             ,   77 47 31 ,   93 18 34,     27.370,      0.000,      0.000,       26.707,        5.778,     -1.580
122             ,   71 05 00 ,   93 13 13,     28.689,      0.000,      0.000,       27.096,        9.286,     -1.612
123             ,   64 09 08 ,   93 02 42,     30.069,      0.000,      0.000,       27.023,       13.091,     -1.597
124             ,   58 38 42 ,   92 55 33,     31.734,      0.000,      0.000,       27.064,       16.491,     -1.620
125             ,   96 03 37 ,   93 30 09,     26.999,      0.000,      0.000,       26.798,       -2.845,     -1.649
126             ,   97 37 22 ,   95 13 27,     19.406,      0.000,      0.000,       19.154,       -2.564,     -1.767
127             ,  102 37 28 ,   98 38 16,     12.123,      0.000,      0.000,       11.695,       -2.619,     -1.821
128             ,  115 15 20 ,  106 43 56,      6.553,      0.000,      0.000,        5.676,       -2.678,     -1.887
129             ,  135 22 31 ,  116 34 27,      4.548,      0.000,      0.000,        2.857,       -2.895,     -2.035
130             ,  177 16 44 ,  125 19 08,      3.645,      0.000,      0.000,        0.141,       -2.971,     -2.107
131             ,  202 14 25 ,  122 50 00,      3.863,      0.000,      0.000,       -1.229,       -3.005,     -2.095
132             ,  191 07 24 ,  107 02 23,      7.019,      0.000,      0.000,       -1.295,       -6.585,     -2.057
133             ,  185 53 08 ,   98 56 59,     13.141,      0.000,      0.000,       -1.331,      -12.912,     -2.044
134             ,  183 49 12 ,   94 57 03,     20.977,      0.000,      0.000,       -1.392,      -20.852,     -1.810
135             ,  185 33 00 ,   92 27 40,     19.285,      0.000,      0.000,       -1.863,      -19.177,     -0.828
136             ,  190 09 29 ,   94 20 45,     10.667,      0.000,      0.000,       -1.876,      -10.469,     -0.808
137             ,  202 11 07 ,   98 57 06,      5.117,      0.000,      0.000,       -1.909,       -4.680,     -0.796
138             ,  223 30 30 ,  104 14 26,      2.843,      0.000,      0.000,       -1.897,       -1.998,     -0.699
139             ,  164 50 15 ,  112 47 12,      5.320,      0.000,      0.000,        1.283,       -4.734,     -2.061
140             ,  172 00 43 ,  103 14 15,      8.979,      0.000,      0.000,        1.215,       -8.655,     -2.056
141             ,  174 46 31 ,   98 02 29,     14.677,      0.000,      0.000,        1.323,      -14.473,     -2.053
142             ,  175 53 58 ,   95 14 44,     20.334,      0.000,      0.000,        1.448,      -20.197,     -1.859
143             ,  159 49 06 ,   94 42 25,     21.883,      0.000,      0.000,        7.524,      -20.470,     -1.796
144             ,  153 31 24 ,   96 56 10,     16.285,      0.000,      0.000,        7.207,      -14.470,     -1.967
