   Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
ADG             ,    0 00 02 ,   90 02 52,          0,      0.000,      0.000,            0,            0,          0
2               ,    2 00 41 ,   90 06 43,     95.206,      1.300,      0.000,        3.342,       95.148,     -1.486
3               ,    1 01 23 ,   89 55 16,     93.905,      1.300,      0.000,        1.677,       93.890,     -1.170
4               ,    0 13 31 ,   90 07 25,     94.412,      1.300,      0.000,        0.372,       94.411,     -1.503
5               ,  359 47 57 ,   89 56 42,     93.834,      1.300,      0.000,       -0.329,       93.833,     -1.209
6               ,  358 07 28 ,   88 53 51,     92.166,      1.300,      0.000,       -3.016,       92.100,      0.474
7               ,  357 11 34 ,   89 40 46,     92.926,      1.300,      0.000,       -4.551,       92.813,     -0.780
8               ,  356 21 58 ,   89 12 58,     91.550,      1.300,      0.000,       -5.802,       91.357,     -0.047
9               ,  357 38 03 ,   89 22 54,     92.233,      1.300,      0.000,       -3.807,       92.149,     -0.304
10              ,  356 25 37 ,   89 07 42,     89.992,      1.300,      0.000,       -5.608,       89.807,      0.069
11              ,  357 30 06 ,   89 27 47,     89.799,      1.300,      0.000,       -3.914,       89.710,     -0.458
12              ,  358 14 11 ,   89 11 24,     90.218,      1.300,      0.000,       -2.776,       90.166,     -0.024
13              ,  359 31 07 ,   89 35 41,     90.198,      1.300,      0.000,       -0.757,       90.193,     -0.662
14              ,    0 46 31 ,   89 48 40,     89.992,      1.300,      0.000,        1.218,       89.983,     -1.003
15              ,    1 43 29 ,   89 59 11,     90.485,      1.300,      0.000,        2.724,       90.444,     -1.278
16              ,    2 19 57 ,   90 05 59,     88.614,      1.300,      0.000,        3.607,       88.541,     -1.454
17              ,    1 18 13 ,   89 51 08,     88.144,      1.300,      0.000,        2.005,       88.121,     -1.072
18              ,  359 30 45 ,   89 18 29,     87.627,      1.300,      0.000,       -0.745,       87.617,     -0.241
19              ,  358 04 35 ,   89 03 42,     87.867,      1.300,      0.000,       -2.949,       87.806,      0.139
20              ,  357 08 15 ,   89 26 48,     87.322,      1.300,      0.000,       -4.360,       87.209,     -0.457
21              ,  356 22 30 ,   89 06 43,     86.376,      1.300,      0.000,       -5.460,       86.193,      0.039
22              ,  355 33 09 ,   89 01 59,     84.137,      1.300,      0.000,       -6.523,       83.872,      0.120
23              ,  356 57 00 ,   89 20 59,     83.923,      1.300,      0.000,       -4.465,       83.799,     -0.347
24              ,  357 22 35 ,   89 14 37,     84.835,      1.300,      0.000,       -3.883,       84.739,     -0.180
25              ,  358 34 52 ,   89 22 00,     85.154,      1.300,      0.000,       -2.108,       85.122,     -0.358
26              ,    0 28 18 ,   89 44 21,     85.111,      1.300,      0.000,        0.701,       85.107,     -0.912
27              ,    2 10 42 ,   90 06 42,     85.104,      1.300,      0.000,        3.235,       85.042,     -1.466
28              ,    0 43 58 ,   89 55 33,     83.105,      1.300,      0.000,        1.063,       83.099,     -1.192
29              ,  359 39 01 ,   89 18 43,     82.437,      1.300,      0.000,       -0.503,       82.430,     -0.310
30              ,  357 21 56 ,   89 05 25,     81.529,      1.300,      0.000,       -3.747,       81.432,     -0.006
31              ,  356 28 31 ,   89 30 13,     80.539,      1.300,      0.000,       -4.951,       80.384,     -0.602
32              ,  355 42 30 ,   88 52 37,     78.766,      1.300,      0.000,       -5.893,       78.530,      0.244
33              ,  357 35 28 ,   89 18 18,     77.604,      1.300,      0.000,       -3.261,       77.530,     -0.359
34              ,  359 29 21 ,   89 17 50,     76.282,      1.300,      0.000,       -0.680,       76.273,     -0.364
35              ,    2 12 20 ,   90 07 07,     75.879,      1.300,      0.000,        2.920,       75.822,     -1.457
36              ,    1 13 01 ,   89 38 10,     73.608,      1.300,      0.000,        1.564,       73.590,     -0.832
37              ,  359 05 49 ,   89 07 52,     72.862,      1.300,      0.000,       -1.148,       72.845,     -0.195
38              ,  356 35 27 ,   89 06 52,     71.424,      1.300,      0.000,       -4.247,       71.289,     -0.196
39              ,  354 06 17 ,   88 57 51,     69.483,      1.300,      0.000,       -7.135,       69.104,     -0.044
40              ,  353 01 00 ,   88 44 03,     67.536,      1.300,      0.000,       -8.209,       67.018,      0.192
41              ,  355 27 52 ,   89 04 51,     67.126,      1.300,      0.000,       -5.307,       66.907,     -0.223
42              ,  359 55 56 ,   89 12 20,     67.902,      1.300,      0.000,       -0.080,       67.896,     -0.358
43              ,    2 31 57 ,   90 07 12,     67.837,      1.300,      0.000,        2.998,       67.771,     -1.442
44              ,    0 15 35 ,   89 23 05,     65.577,      1.300,      0.000,        0.297,       65.573,     -0.596
45              ,  357 25 29 ,   89 00 36,     63.714,      1.300,      0.000,       -2.862,       63.641,     -0.199
46              ,  354 54 38 ,   88 47 12,     62.403,      1.300,      0.000,       -5.535,       62.143,      0.022
47              ,  350 55 45 ,   88 42 11,     61.568,      1.300,      0.000,       -9.704,       60.782,      0.094
48              ,  354 08 50 ,   88 40 57,     58.275,      1.300,      0.000,       -5.941,       57.956,      0.040
49              ,  356 40 41 ,   88 53 14,     57.932,      1.300,      0.000,       -3.356,       57.823,     -0.175
50              ,  358 53 24 ,   89 25 34,     57.434,      1.300,      0.000,       -1.112,       57.420,     -0.725
51              ,  359 48 12 ,   89 06 00,     56.287,      1.300,      0.000,       -0.193,       56.280,     -0.416
52              ,    2 34 09 ,   90 10 07,     55.984,      1.300,      0.000,        2.510,       55.928,     -1.465
53              ,  359 28 24 ,   89 03 48,     54.128,      1.300,      0.000,       -0.497,       54.119,     -0.415
54              ,  356 27 08 ,   88 46 51,     52.446,      1.300,      0.000,       -3.244,       52.334,     -0.184
55              ,  353 09 53 ,   88 32 28,     51.539,      1.300,      0.000,       -6.132,       51.156,      0.012
56              ,  349 36 03 ,   88 28 34,     50.876,      1.300,      0.000,       -9.180,       50.023,      0.053
57              ,  350 46 12 ,   89 01 12,     48.487,      1.300,      0.000,       -7.776,       47.852,     -0.471
58              ,  352 40 30 ,   88 24 13,     46.622,      1.300,      0.000,       -5.942,       46.224,     -0.001
59              ,  354 44 20 ,   89 01 46,     45.238,      1.300,      0.000,       -4.147,       45.040,     -0.534
60              ,  356 00 46 ,   88 41 42,     43.836,      1.300,      0.000,       -3.047,       43.719,     -0.302
61              ,  358 39 28 ,   89 15 32,     43.395,      1.300,      0.000,       -1.016,       43.379,     -0.739
62              ,    2 15 44 ,   90 14 32,     42.774,      1.300,      0.000,        1.688,       42.740,     -1.481
63              ,  358 16 05 ,   88 46 25,     41.306,      1.300,      0.000,       -1.248,       41.278,     -0.416
64              ,  354 27 12 ,   89 14 26,     40.065,      1.300,      0.000,       -3.872,       39.874,     -0.769
65              ,  351 09 25 ,   87 56 58,     39.572,      1.300,      0.000,       -6.079,       39.077,      0.116
66              ,  348 56 33 ,   88 55 48,     39.257,      1.300,      0.000,       -7.528,       38.522,     -0.567
67              ,  346 23 01 ,   88 24 40,     38.211,      1.300,      0.000,       -8.992,       37.122,     -0.241
68              ,  348 26 22 ,   88 34 28,     35.745,      1.300,      0.000,       -7.161,       35.009,     -0.411
69              ,  350 39 13 ,   87 25 22,     33.947,      1.300,      0.000,       -5.507,       33.462,      0.226
70              ,  355 30 49 ,   88 44 59,     32.149,      1.300,      0.000,       -2.514,       32.043,     -0.598
71              ,    0 22 36 ,   90 24 56,     30.811,      1.300,      0.000,        0.203,       30.810,     -1.524
72              ,  356 02 54 ,   88 20 49,     28.319,      1.300,      0.000,       -1.951,       28.240,     -0.483
73              ,  352 00 34 ,   87 28 29,     29.890,      1.300,      0.000,       -4.151,       29.571,      0.017
74              ,  347 27 29 ,   88 54 23,     31.974,      1.300,      0.000,       -6.942,       31.205,     -0.690
75              ,  355 45 17 ,   88 38 22,     27.204,      1.300,      0.000,       -2.013,       27.121,     -0.654
76              ,  352 21 59 ,   90 06 28,     27.454,      1.300,      0.000,       -3.647,       27.210,     -1.352
77              ,  350 34 34 ,   89 53 00,     28.276,      1.300,      0.000,       -4.630,       27.895,     -1.242
78              ,  347 47 32 ,   90 19 54,     29.288,      1.300,      0.000,       -6.193,       28.625,     -1.469
79              ,  345 57 05 ,   90 09 12,     30.738,      1.300,      0.000,       -7.461,       29.819,     -1.382
80              ,  344 09 13 ,   89 52 46,     32.753,      1.300,      0.000,       -8.943,       31.508,     -1.231
81              ,  348 42 13 ,   90 33 43,     24.259,      1.300,      0.000,       -4.752,       23.788,     -1.538
82              ,  351 09 50 ,   89 38 15,     23.560,      1.300,      0.000,       -3.619,       23.280,     -1.151
83              ,  357 43 10 ,   88 44 18,     23.393,      1.300,      0.000,       -0.931,       23.369,     -0.785
84              ,  359 27 55 ,   90 38 37,     43.240,      0.000,      0.000,       -0.403,       43.235,     -0.486
85              ,    0 02 19 ,   90 53 48,     49.223,      0.000,      0.000,        0.033,       49.217,     -0.770
86              ,    1 32 47 ,   91 34 05,     51.068,      0.000,      0.000,        1.378,       51.031,     -1.397
87              ,    1 06 15 ,   91 52 22,     42.099,      0.000,      0.000,        0.811,       42.069,     -1.376
88              ,  359 59 48 ,   90 59 40,     42.923,      0.000,      0.000,       -0.002,       42.916,     -0.745
89              ,  359 02 15 ,   90 37 08,     43.359,      0.000,      0.000,       -0.728,       43.351,     -0.468
90              ,  358 06 49 ,   90 22 37,     41.375,      0.000,      0.000,       -1.362,       41.351,     -0.272
91              ,  356 53 29 ,   90 20 31,     47.676,      0.000,      0.000,       -2.585,       47.605,     -0.285
92              ,  356 53 28 ,   89 59 01,     53.547,      0.000,      0.000,       -2.904,       53.468,      0.015
93              ,  359 29 05 ,   90 24 33,     52.520,      0.000,      0.000,       -0.472,       52.517,     -0.375
94              ,    0 15 08 ,   92 02 38,     35.339,      0.000,      0.000,        0.156,       35.316,     -1.260
95              ,  359 11 25 ,   91 24 47,     35.904,      0.000,      0.000,       -0.507,       35.889,     -0.885
96              ,  357 42 50 ,   90 48 29,     36.629,      0.000,      0.000,       -1.461,       36.596,     -0.517
97              ,  355 44 08 ,   90 18 34,     37.977,      0.000,      0.000,       -2.824,       37.872,     -0.205
98              ,  355 44 04 ,   90 37 22,     33.020,      0.000,      0.000,       -2.456,       32.927,     -0.359
99              ,  355 13 25 ,   90 37 25,     31.202,      0.000,      0.000,       -2.598,       31.091,     -0.340
100             ,  353 25 11 ,   90 17 21,     29.411,      0.000,      0.000,       -3.370,       29.217,     -0.148
101             ,  351 53 02 ,   89 39 41,     29.874,      0.000,      0.000,       -4.217,       29.574,      0.177
102             ,  350 30 06 ,   89 39 50,     32.309,      0.000,      0.000,       -5.331,       31.865,      0.189
103             ,  348 09 59 ,   90 26 08,     32.604,      0.000,      0.000,       -6.686,       31.910,     -0.248
104             ,  345 24 55 ,   90 07 04,     34.411,      0.000,      0.000,       -8.665,       33.302,     -0.071
105             ,  343 40 18 ,   91 26 47,     34.094,      0.000,      0.000,       -9.582,       32.708,     -0.861
106             ,  343 40 41 ,   91 53 55,     33.356,      0.000,      0.000,       -9.369,       31.994,     -1.105
107             ,  344 41 25 ,   91 53 10,     32.062,      0.000,      0.000,       -8.461,       30.907,     -1.055
108             ,  345 52 14 ,   91 53 08,     31.331,      0.000,      0.000,       -7.644,       30.367,     -1.031
109             ,  348 15 07 ,   91 05 04,     31.068,      0.000,      0.000,       -6.324,       30.412,     -0.588
110             ,  351 35 20 ,   90 25 48,     28.695,      0.000,      0.000,       -4.197,       28.386,     -0.215
111             ,  351 35 06 ,   91 09 47,     28.373,      0.000,      0.000,       -4.151,       28.061,     -0.576
112             ,  348 09 30 ,   92 36 00,     29.045,      0.000,      0.000,       -5.954,       28.397,     -1.318
113             ,  346 09 44 ,   92 53 59,     29.775,      0.000,      0.000,       -7.112,       28.873,     -1.506
114             ,  353 46 17 ,   90 49 49,     17.825,      0.000,      0.000,       -1.934,       17.718,     -0.258
115             ,  357 02 21 ,   91 31 57,     19.368,      0.000,      0.000,       -1.000,       19.335,     -0.518
116             ,  358 12 04 ,   91 44 49,     24.007,      0.000,      0.000,       -0.753,       23.984,     -0.732
117             ,  356 45 49 ,   91 06 56,     27.360,      0.000,      0.000,       -1.544,       27.311,     -0.533
118             ,  359 17 27 ,   92 02 21,     24.551,      0.000,      0.000,       -0.304,       24.533,     -0.874
119             ,    2 31 04 ,   92 56 12,     27.485,      0.000,      0.000,        1.206,       27.422,     -1.408
120             ,    3 33 13 ,   93 59 57,     19.988,      0.000,      0.000,        1.236,       19.901,     -1.394
121             ,    4 46 36 ,   95 32 02,     14.456,      0.000,      0.000,        1.198,       14.338,     -1.394
122             ,    2 35 07 ,   98 17 22,     10.000,      0.000,      0.000,        0.446,        9.886,     -1.442
123             ,  355 06 31 ,  100 40 19,      8.064,      0.000,      0.000,       -0.676,        7.896,     -1.493
124             ,  355 06 28 ,  103 30 01,      6.352,      0.000,      0.000,       -0.527,        6.154,     -1.483
125             ,  341 42 23 ,  109 35 48,      4.611,      0.000,      0.000,       -1.364,        4.125,     -1.547
126             ,  338 32 52 ,  104 41 05,      6.406,      0.000,      0.000,       -2.266,        5.768,     -1.624
127             ,  343 57 25 ,  101 34 05,      7.750,      0.000,      0.000,       -2.098,        7.296,     -1.554
128             ,  343 57 46 ,   97 55 19,     11.660,      0.000,      0.000,       -3.190,       11.099,     -1.607
129             ,  345 04 24 ,  104 01 25,      5.352,      0.000,      0.000,       -1.338,        5.017,     -1.297
130             ,  350 24 35 ,   99 01 50,      7.819,      0.000,      0.000,       -1.286,        7.614,     -1.227
131             ,  350 24 46 ,   96 39 42,      9.493,      0.000,      0.000,       -1.570,        9.298,     -1.101
132             ,  353 15 37 ,   94 02 48,     12.028,      0.000,      0.000,       -1.408,       11.915,     -0.849
133             ,  354 40 06 ,   92 41 14,     12.912,      0.000,      0.000,       -1.198,       12.842,     -0.605
134             ,  356 49 08 ,   91 47 30,     16.949,      0.000,      0.000,       -0.940,       16.914,     -0.530
135             ,  353 45 54 ,   90 48 35,     17.856,      0.000,      0.000,       -1.939,       17.749,     -0.252
136             ,  357 21 54 ,   91 49 12,     18.103,      0.000,      0.000,       -0.832,       18.075,     -0.575
137             ,  359 56 28 ,   92 41 38,     21.089,      0.000,      0.000,       -0.022,       21.066,     -0.991
138             ,    1 31 32 ,   94 10 45,     14.974,      0.000,      0.000,        0.398,       14.929,     -1.091
139             ,  357 01 55 ,   93 51 47,     12.700,      0.000,      0.000,       -0.656,       12.654,     -0.856
140             ,  354 08 45 ,   96 00 06,     10.252,      0.000,      0.000,       -1.040,       10.142,     -1.072
141             ,  357 21 11 ,   97 16 40,      9.728,      0.000,      0.000,       -0.446,        9.639,     -1.232
142             ,  353 46 03 ,   92 32 20,     16.034,      0.000,      0.000,       -1.739,       15.924,     -0.710
143             ,  349 21 55 ,   93 35 59,     16.553,      0.000,      0.000,       -3.049,       16.237,     -1.039
144             ,  347 17 05 ,   93 35 56,     18.312,      0.000,      0.000,       -4.023,       17.828,     -1.150
145             ,  350 24 16 ,   92 14 48,     18.055,      0.000,      0.000,       -3.007,       17.789,     -0.708
146             ,  352 55 09 ,   90 59 42,     18.379,      0.000,      0.000,       -2.265,       18.236,     -0.319
147             ,  346 12 06 ,   93 22 54,     21.427,      0.000,      0.000,       -5.102,       20.772,     -1.264
148             ,  342 24 43 ,   91 58 28,     20.810,      0.000,      0.000,       -6.284,       19.826,     -0.717
149             ,  338 49 03 ,   90 31 59,     22.403,      0.000,      0.000,       -8.095,       20.888,     -0.208
150             ,  333 23 30 ,   89 47 39,     24.394,      0.000,      0.000,      -10.926,       21.811,      0.088
151             ,  330 39 58 ,   89 25 38,     24.293,      0.000,      0.000,      -11.900,       21.177,      0.243
152             ,  326 44 08 ,   89 17 51,     25.479,      0.000,      0.000,      -13.974,       21.302,      0.312
153             ,  331 51 33 ,   89 59 14,     22.545,      0.000,      0.000,      -10.633,       19.880,      0.005
154             ,  334 40 41 ,   91 02 27,     21.373,      0.000,      0.000,       -9.140,       19.317,     -0.388
155             ,  337 36 28 ,   92 17 27,     20.392,      0.000,      0.000,       -7.762,       18.839,     -0.815
156             ,  341 52 53 ,   93 51 07,     19.610,      0.000,      0.000,       -6.085,       18.596,     -1.317
157             ,  346 04 08 ,   93 46 12,     20.936,      0.000,      0.000,       -5.029,       20.276,     -1.377
158             ,  341 11 01 ,   93 46 17,     19.619,      0.000,      0.000,       -6.314,       18.531,     -1.290
159             ,  337 50 03 ,   93 22 59,     18.339,      0.000,      0.000,       -6.907,       16.954,     -1.082
160             ,  331 32 56 ,   89 58 25,     22.386,      0.000,      0.000,      -10.665,       19.682,      0.010
161             ,  327 40 12 ,   89 31 28,     25.216,      0.000,      0.000,      -13.485,       21.306,      0.209
162             ,  328 49 45 ,   89 31 52,     18.330,      0.000,      0.000,       -9.487,       15.683,      0.150
163             ,  331 49 15 ,   90 36 24,     18.136,      0.000,      0.000,       -8.564,       15.985,     -0.192
164             ,  333 25 36 ,   90 36 29,     14.374,      0.000,      0.000,       -6.430,       12.854,     -0.153
165             ,  333 25 50 ,   94 36 02,     13.297,      0.000,      0.000,       -5.928,       11.855,     -1.067
166             ,  337 20 01 ,   97 35 27,     12.785,      0.000,      0.000,       -4.884,       11.694,     -1.689
167             ,  333 10 50 ,   98 51 39,     11.042,      0.000,      0.000,       -4.923,        9.737,     -1.701
168             ,  327 32 18 ,   99 44 12,     10.655,      0.000,      0.000,       -5.636,        8.861,     -1.802
169             ,  321 01 03 ,   99 59 38,     10.846,      0.000,      0.000,       -6.720,        8.303,     -1.882
170             ,  313 45 15 ,  100 36 32,     10.918,      0.000,      0.000,       -7.751,        7.421,     -2.010
171             ,  307 21 17 ,  100 36 17,     10.779,      0.000,      0.000,       -8.422,        6.428,     -1.984
172             ,  298 19 03 ,  101 12 19,     10.622,      0.000,      0.000,       -9.173,        4.943,     -2.064
173             ,  290 10 40 ,  101 34 51,     10.820,      0.000,      0.000,       -9.949,        3.656,     -2.172
174             ,  284 08 40 ,  100 14 55,     12.831,      0.000,      0.000,      -12.243,        3.085,     -2.283
175             ,  287 26 22 ,   98 53 22,     12.979,      0.000,      0.000,      -12.234,        3.843,     -2.006
176             ,  291 09 21 ,   96 23 24,     13.600,      0.000,      0.000,      -12.605,        4.878,     -1.514
177             ,  295 42 14 ,   94 19 32,     13.230,      0.000,      0.000,      -11.887,        5.722,     -0.998
178             ,  298 26 32 ,   90 48 15,     14.395,      0.000,      0.000,      -12.657,        6.855,     -0.202
179             ,  301 03 59 ,   90 48 17,     14.498,      0.000,      0.000,      -12.418,        7.481,     -0.204
180             ,  301 03 58 ,   91 22 39,     12.613,      0.000,      0.000,      -10.801,        6.507,     -0.303
181             ,  306 37 07 ,   91 24 50,     12.994,      0.000,      0.000,      -10.426,        7.749,     -0.321
182             ,  313 38 18 ,   90 32 10,     13.093,      0.000,      0.000,       -9.475,        9.035,     -0.123
183             ,  320 27 06 ,   90 32 10,     13.971,      0.000,      0.000,       -8.895,       10.772,     -0.131
184             ,  326 26 39 ,   90 32 19,     13.935,      0.000,      0.000,       -7.702,       11.612,     -0.131
185             ,  326 26 35 ,   94 24 27,     12.163,      0.000,      0.000,       -6.703,       10.106,     -0.935
186             ,  320 28 48 ,   94 24 13,     12.382,      0.000,      0.000,       -7.856,        9.523,     -0.951
187             ,  314 35 04 ,   94 24 22,     12.615,      0.000,      0.000,       -8.958,        8.829,     -0.969
188             ,  307 48 28 ,   94 24 14,     12.213,      0.000,      0.000,       -9.620,        7.465,     -0.938
189             ,  300 14 41 ,   94 23 04,     12.135,      0.000,      0.000,      -10.452,        6.094,     -0.928
190             ,  308 15 02 ,   90 29 30,     18.338,      0.000,      0.000,      -14.401,       11.353,     -0.157
191             ,  303 26 11 ,   90 29 27,     15.007,      0.000,      0.000,      -12.523,        8.269,     -0.129
192             ,  311 47 21 ,   90 06 06,     18.454,      0.000,      0.000,      -13.760,       12.298,     -0.033
193             ,  327 12 01 ,   90 20 53,     18.742,      0.000,      0.000,      -10.152,       15.754,     -0.114
194             ,  331 01 45 ,   91 20 23,     14.645,      0.000,      0.000,       -7.092,       12.809,     -0.342
195             ,  335 56 12 ,   93 27 40,     17.095,      0.000,      0.000,       -6.958,       15.581,     -1.032
196             ,  338 33 39 ,   93 56 15,     17.430,      0.000,      0.000,       -6.356,       16.186,     -1.197
197             ,  341 13 22 ,   94 13 08,     18.338,      0.000,      0.000,       -5.887,       17.315,     -1.349
198             ,  345 56 56 ,   93 38 34,     21.017,      0.000,      0.000,       -5.092,       20.347,     -1.335
199             ,  280 39 48 ,   94 01 13,     27.059,      0.000,      0.000,      -26.526,        4.995,     -1.897
1               ,  100 39 48 ,   94 00 59,          0,      0.000,      0.000,            0,            0,          0
1               ,  100 39 48 ,   85 58 42,          0,      0.000,      0.000,            0,            0,          0
200             ,  100 39 46 ,   85 58 43,     27.059,      0.000,      0.000,        0.000,        0.000,      0.000
201             ,   97 48 33 ,   92 02 46,     13.628,      0.000,      0.000,      -13.033,        3.144,     -2.384
202             ,   90 49 59 ,   88 56 21,     13.251,      0.000,      0.000,      -13.279,        4.802,     -1.652
203             ,   85 52 13 ,   86 16 40,     13.464,      0.000,      0.000,      -13.125,        5.962,     -1.023
204             ,   81 36 22 ,   83 09 26,     13.872,      0.000,      0.000,      -12.900,        7.005,     -0.244
205             ,   80 22 16 ,   88 00 00,     11.583,      0.000,      0.000,      -15.113,        6.931,     -1.493
206             ,   84 57 11 ,   90 27 02,     10.381,      0.000,      0.000,      -16.185,        5.908,     -1.979
207             ,   70 47 44 ,   88 33 19,     11.155,      0.000,      0.000,      -15.995,        8.663,     -1.616
208             ,   73 07 16 ,   86 17 42,     12.466,      0.000,      0.000,      -14.622,        8.607,     -1.092
209             ,   76 04 37 ,   82 05 40,     14.169,      0.000,      0.000,      -12.904,        8.372,      0.052
210             ,   68 08 29 ,   82 37 03,     13.166,      0.000,      0.000,      -14.408,        9.856,     -0.205
211             ,   60 04 29 ,   81 35 01,     13.222,      0.000,      0.000,      -15.190,       11.520,      0.038
212             ,   61 56 19 ,   86 57 29,     12.317,      0.000,      0.000,      -15.672,       10.780,     -1.243
213             ,   59 17 12 ,   90 48 14,     11.542,      0.000,      0.000,      -16.604,       10.889,     -2.059
214             ,   51 47 33 ,   88 52 21,     11.707,      0.000,      0.000,      -17.329,       12.234,     -1.667
215             ,   52 31 42 ,   86 09 24,     13.315,      0.000,      0.000,      -15.982,       13.077,     -1.005
216             ,   54 05 45 ,   83 25 39,     14.307,      0.000,      0.000,      -15.013,       13.330,     -0.260
217             ,   51 40 00 ,   84 03 50,     14.413,      0.000,      0.000,      -15.281,       13.886,     -0.406
218             ,   47 19 09 ,   81 36 38,     14.604,      0.000,      0.000,      -15.905,       14.789,      0.234
219             ,   47 17 37 ,   83 22 28,     15.069,      0.000,      0.000,      -15.527,       15.147,     -0.158
220             ,   49 17 54 ,   84 58 29,     14.184,      0.000,      0.000,      -15.815,       14.208,     -0.655
221             ,   47 50 28 ,   88 37 47,     13.828,      0.000,      0.000,      -16.279,       14.273,     -1.566
222             ,   46 02 37 ,   91 28 50,     12.355,      0.000,      0.000,      -17.635,       13.568,     -2.216
223             ,   39 36 19 ,   91 28 02,     12.664,      0.000,      0.000,      -18.456,       14.748,     -2.221
224             ,   37 44 40 ,   87 35 44,     17.233,      0.000,      0.000,      -15.986,       18.609,     -1.174
225             ,   38 21 00 ,   85 16 41,     19.739,      0.000,      0.000,      -14.320,       20.422,     -0.272
226             ,   40 28 42 ,   84 37 25,     19.933,      0.000,      0.000,      -13.643,       20.090,     -0.029
227             ,   42 49 37 ,   84 37 43,     16.565,      0.000,      0.000,      -15.315,       17.090,     -0.346
228             ,   44 20 36 ,   85 26 41,     17.245,      0.000,      0.000,      -14.510,       17.289,     -0.527
229             ,   45 51 32 ,   84 47 09,     18.414,      0.000,      0.000,      -13.366,       17.766,     -0.224
230             ,   31 54 45 ,   90 29 02,     18.037,      0.000,      0.000,      -16.992,       20.305,     -2.049
231             ,   27 30 11 ,   91 29 56,     20.137,      0.000,      0.000,      -17.230,       22.849,     -2.424
232             ,   30 35 42 ,   88 12 17,     20.878,      0.000,      0.000,      -15.905,       22.957,     -1.243
233             ,   33 15 45 ,   86 05 41,     20.165,      0.000,      0.000,      -15.492,       21.817,     -0.524
234             ,   34 19 17 ,   84 36 28,     20.844,      0.000,      0.000,      -14.826,       22.133,      0.062
235             ,   36 09 14 ,   84 53 16,     20.629,      0.000,      0.000,      -14.404,       21.585,     -0.059
236             ,   37 02 50 ,   83 45 18,     20.703,      0.000,      0.000,      -14.127,       21.421,      0.355
237             ,   38 42 09 ,   83 45 24,     21.165,      0.000,      0.000,      -13.371,       21.414,      0.405
238             ,   40 06 02 ,   84 04 56,     22.222,      0.000,      0.000,      -12.288,       21.902,      0.394
239             ,   27 41 58 ,   91 04 43,     20.112,      0.000,      0.000,      -17.179,       22.799,     -2.276
240             ,   31 36 06 ,   90 33 09,     18.281,      0.000,      0.000,      -16.947,       20.564,     -2.073
241             ,   92 04 22 ,   94 14 04,      9.968,      0.000,      0.000,      -16.592,        4.635,     -2.633
242             ,   80 19 11 ,   94 53 37,      9.249,      0.000,      0.000,      -17.442,        6.544,     -2.686
243             ,   65 33 28 ,   94 37 09,      9.651,      0.000,      0.000,      -17.768,        8.975,     -2.674
244             ,   46 52 49 ,   95 37 16,      9.832,      0.000,      0.000,      -19.384,       11.683,     -2.860
245             ,   40 40 01 ,   94 44 02,     11.065,      0.000,      0.000,      -19.340,       13.359,     -2.810
246             ,   32 16 00 ,   94 36 07,     12.459,      0.000,      0.000,      -19.896,       15.495,     -2.897
247             ,   26 33 49 ,   94 06 14,     14.059,      0.000,      0.000,      -20.255,       17.537,     -2.903
248             ,   25 52 09 ,   93 09 08,     17.624,      0.000,      0.000,      -18.848,       20.828,     -2.866
249             ,   25 52 49 ,   91 00 17,     30.411,      0.000,      0.000,      -13.254,       32.352,     -2.430
250             ,   20 55 38 ,   91 00 27,     35.366,      0.000,      0.000,      -13.896,       38.023,     -2.519
251             ,   16 28 30 ,   91 08 25,     39.660,      0.000,      0.000,      -15.281,       43.018,     -2.686
252             ,   13 20 11 ,   90 56 52,     47.334,      0.000,      0.000,      -15.609,       51.046,     -2.680
253             ,   11 37 54 ,   90 56 46,     52.396,      0.000,      0.000,      -15.963,       56.308,     -2.762
254             ,   10 16 08 ,   90 46 22,     59.312,      0.000,      0.000,      -15.953,       63.351,     -2.697
