   Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
ADG             ,    0 00 03 ,   88 02 22,          0,      0.000,      0.000,            0,            0,          0
2               ,    0 38 37 ,   95 05 06,     13.679,      0.000,      0.000,        0.153,       13.624,     -1.212
3               ,    0 38 37 ,   95 05 06,          0,      0.000,      0.000,            0,            0,          0
4               ,    3 06 38 ,   95 56 12,     11.607,      0.000,      0.000,        0.626,       11.528,     -1.201
5               ,    7 03 15 ,   97 02 41,      9.771,      0.000,      0.000,        1.191,        9.624,     -1.198
6               ,    1 06 58 ,   97 01 24,      9.901,      0.000,      0.000,        0.191,        9.825,     -1.211
7               ,    5 31 45 ,   94 36 55,     14.510,      0.000,      0.000,        1.394,       14.396,     -1.168
8               ,    5 46 34 ,   90 36 41,     15.353,      0.000,      0.000,        1.545,       15.274,     -0.164
9               ,    6 00 36 ,   85 59 57,     15.913,      0.000,      0.000,        1.662,       15.787,      1.110
10              ,    6 00 32 ,   90 02 25,     15.364,      0.000,      0.000,        1.608,       15.280,     -0.011
11              ,    1 00 37 ,   86 06 28,     15.850,      0.000,      0.000,        0.279,       15.811,      1.076
12              ,  358 49 49 ,   85 10 50,     16.444,      0.000,      0.000,       -0.334,       16.383,      1.382
13              ,  356 12 25 ,   85 17 12,     16.160,      0.000,      0.000,       -1.065,       16.070,      1.328
14              ,  354 37 12 ,   86 17 28,     15.660,      0.000,      0.000,       -1.465,       15.559,      1.013
15              ,  354 33 44 ,   90 09 16,     15.028,      0.000,      0.000,       -1.424,       14.961,     -0.041
16              ,  356 36 14 ,   94 47 20,     14.781,      0.000,      0.000,       -0.873,       14.703,     -1.234
17              ,    0 03 33 ,   90 39 52,     15.380,      0.000,      0.000,        0.016,       15.378,     -0.178
18              ,  357 40 44 ,   97 18 14,      9.553,      0.000,      0.000,       -0.384,        9.467,     -1.214
19              ,  344 54 14 ,  100 02 17,      7.222,      0.000,      0.000,       -1.852,        6.866,     -1.259
20              ,  329 33 27 ,   99 56 53,      7.436,      0.000,      0.000,       -3.711,        6.315,     -1.285
21              ,  314 42 26 ,   99 05 48,      8.200,      0.000,      0.000,       -5.755,        5.696,     -1.296
22              ,  308 12 31 ,   98 27 53,      8.882,      0.000,      0.000,       -6.903,        5.434,     -1.307
23              ,  307 47 13 ,   96 00 00,     12.071,      0.000,      0.000,       -9.487,        7.356,     -1.262
24              ,  306 26 04 ,   93 09 56,     15.433,      0.000,      0.000,      -12.398,        9.152,     -0.852
25              ,  303 35 29 ,   90 00 09,     18.163,      0.000,      0.000,      -15.130,       10.049,     -0.001
26              ,  308 00 57 ,   87 42 53,     18.543,      0.000,      0.000,      -14.597,       11.411,      0.739
27              ,  312 13 56 ,   84 30 10,     19.415,      0.000,      0.000,      -14.309,       12.990,      1.860
28              ,  314 31 28 ,   82 49 33,     19.399,      0.000,      0.000,      -13.722,       13.496,      2.423
29              ,  324 02 14 ,   77 00 43,     19.966,      0.000,      0.000,      -11.425,       15.747,      4.487
30              ,  328 49 43 ,   74 15 33,     21.962,      0.000,      0.000,      -10.941,       18.086,      5.958
31              ,  331 26 15 ,   73 13 06,     22.254,      0.000,      0.000,      -10.187,       18.713,      6.425
32              ,  333 32 32 ,   72 24 12,     22.928,      0.000,      0.000,       -9.737,       19.566,      6.931
33              ,  334 58 44 ,   72 05 49,     24.318,      0.000,      0.000,       -9.787,       20.969,      7.476
34              ,  338 20 32 ,   73 43 23,     20.786,      0.000,      0.000,       -7.364,       18.544,      5.826
35              ,  340 33 56 ,   75 34 18,     21.021,      0.000,      0.000,       -6.774,       19.198,      5.238
36              ,  341 50 03 ,   78 30 18,     17.155,      0.000,      0.000,       -5.241,       15.973,      3.419
37              ,  341 42 54 ,   79 04 43,     16.653,      0.000,      0.000,       -5.130,       15.526,      3.155
38              ,  349 20 46 ,   83 02 34,     17.980,      0.000,      0.000,       -3.300,       17.540,      2.178
39              ,  341 47 20 ,   73 56 16,     30.513,      0.000,      0.000,       -9.164,       27.853,      8.442
40              ,  343 55 41 ,   74 30 25,     30.684,      0.000,      0.000,       -8.186,       28.414,      8.196
41              ,  346 19 09 ,   75 06 16,     31.020,      0.000,      0.000,       -7.090,       29.127,      7.974
42              ,  348 59 56 ,   76 13 44,     29.975,      0.000,      0.000,       -5.556,       28.578,      7.135
43              ,  351 25 59 ,   77 43 57,     29.375,      0.000,      0.000,       -4.276,       28.384,      6.242
44              ,  354 44 25 ,   80 04 24,     29.050,      0.000,      0.000,       -2.623,       28.494,      5.008
45              ,  357 11 30 ,   82 18 51,     28.413,      0.000,      0.000,       -1.380,       28.123,      3.800
47              ,    0 03 34 ,   84 24 27,     28.925,      0.000,      0.000,        0.030,       28.787,      2.819
48              ,    1 47 21 ,   85 42 54,     28.960,      0.000,      0.000,        0.902,       28.865,      2.164
49              ,    2 44 48 ,   86 07 15,     29.437,      0.000,      0.000,        1.407,       29.336,      1.991
50              ,  333 09 11 ,   81 11 57,     11.627,      0.000,      0.000,       -5.189,       10.252,      1.779
51              ,  339 39 50 ,   83 32 22,     11.418,      0.000,      0.000,       -3.943,       10.639,      1.285
52              ,  343 46 13 ,   85 45 14,     11.478,      0.000,      0.000,       -3.199,       10.990,      0.850
53              ,  347 23 52 ,   88 56 29,     11.495,      0.000,      0.000,       -2.508,       11.216,      0.212
54              ,  309 01 31 ,   96 50 53,     10.039,      0.000,      0.000,       -7.743,        6.276,     -1.197
55              ,  329 35 30 ,   82 11 39,     11.150,      0.000,      0.000,       -5.592,        9.527,      1.514
