   Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
ADG             ,    0 00 01 ,   89 50 18,          0,      0.000,      0.000,            0,            0,          0
2               ,    5 14 27 ,   86 51 51,     14.748,      0.000,      0.000,        1.345,       14.664,      0.807
3               ,  300 28 35 ,   89 10 02,     29.259,      0.000,      0.000,      -25.214,       14.838,      0.425
4               ,  342 18 46 ,  102 03 14,      5.758,      0.000,      0.000,       -1.711,        5.365,     -1.203
5               ,  294 58 04 ,   92 28 56,     23.783,      0.000,      0.000,      -21.540,       10.030,     -1.030
6               ,    6 40 58 ,   95 11 20,      8.435,      0.000,      0.000,        0.978,        8.343,     -0.763
7               ,    0 09 52 ,   99 17 24,      7.003,      0.000,      0.000,        0.020,        6.911,     -1.131
8               ,  340 40 29 ,   99 53 25,      6.604,      0.000,      0.000,       -2.153,        6.139,     -1.134
9               ,  321 20 12 ,   98 19 03,      7.800,      0.000,      0.000,       -4.822,        6.027,     -1.128
10              ,  312 25 20 ,   96 53 24,      9.501,      0.000,      0.000,       -6.963,        6.363,     -1.140
11              ,  304 12 37 ,   95 15 52,     12.454,      0.000,      0.000,      -10.255,        6.972,     -1.143
12              ,  298 16 53 ,   93 56 37,     14.697,      0.000,      0.000,      -12.912,        6.947,     -1.011
13              ,    6 31 05 ,   91 58 36,     10.115,      0.000,      0.000,        1.148,       10.044,     -0.349
14              ,    5 44 10 ,   88 19 42,     13.028,      0.000,      0.000,        1.302,       12.957,      0.380
15              ,  357 33 26 ,   88 03 10,      9.606,      0.000,      0.000,       -0.409,        9.591,      0.326
16              ,  353 28 04 ,   85 30 50,      9.702,      0.000,      0.000,       -1.100,        9.609,      0.759
17              ,  346 49 38 ,   83 25 17,     10.497,      0.000,      0.000,       -2.376,       10.153,      1.203
18              ,  343 52 26 ,   82 42 02,     10.772,      0.000,      0.000,       -2.968,       10.264,      1.369
19              ,  333 18 24 ,   84 28 10,      9.943,      0.000,      0.000,       -4.446,        8.842,      0.958
20              ,  326 35 19 ,   87 15 32,     10.490,      0.000,      0.000,       -5.770,        8.746,      0.502
21              ,  333 18 51 ,   83 53 05,     13.453,      0.000,      0.000,       -6.007,       11.952,      1.433
22              ,  328 37 45 ,   82 41 45,     14.007,      0.000,      0.000,       -7.233,       11.863,      1.781
23              ,  323 46 09 ,   84 23 33,     14.493,      0.000,      0.000,       -8.525,       11.635,      1.416
24              ,  322 50 11 ,   84 32 30,     13.406,      0.000,      0.000,       -8.062,       10.635,      1.275
25              ,  317 17 40 ,   86 21 08,     14.172,      0.000,      0.000,       -9.593,       10.394,      0.902
26              ,  320 46 21 ,   84 56 51,     16.867,      0.000,      0.000,      -10.625,       13.015,      1.485
27              ,  317 49 48 ,   84 26 08,     17.183,      0.000,      0.000,      -11.481,       12.675,      1.666
28              ,  316 05 13 ,   86 35 45,     16.548,      0.000,      0.000,      -11.457,       11.900,      0.983
29              ,  313 13 46 ,   86 53 59,     18.350,      0.000,      0.000,      -13.350,       12.550,      0.992
30              ,  309 43 27 ,   87 10 20,     21.891,      0.000,      0.000,      -16.817,       13.974,      1.080
31              ,  308 48 03 ,   87 10 21,     24.253,      0.000,      0.000,      -18.878,       15.179,      1.196
