2016-01-03 18:52:23.6174 DEBUG ++@@508,507;	
2016-01-03 18:52:23.6354 DEBUG ++@@523,508;	
2016-01-03 18:52:23.6354 DEBUG ++@@507,523;	
2016-01-03 18:52:23.6444 DEBUG ++@@508,509;	
2016-01-03 18:52:23.6444 DEBUG ++@@509,507;	
2016-01-03 18:52:23.6444 DEBUG ++@@457,459;	
2016-01-03 18:52:23.6444 DEBUG ++@@357,457;	
2016-01-03 18:52:23.6574 DEBUG ++@@459,357;	
2016-01-03 18:52:23.6574 DEBUG ++@@357,356;	
2016-01-03 18:52:23.6574 DEBUG ++@@356,457;	
2016-01-03 18:52:23.6574 DEBUG ++@@452,453;	
2016-01-03 18:52:23.6574 DEBUG ++@@356,452;	
2016-01-03 18:52:23.6744 DEBUG ++@@453,356;	
2016-01-03 18:52:23.6744 DEBUG ++@@452,459;	
2016-01-03 18:52:23.6744 DEBUG ++@@451,452;	
2016-01-03 18:52:23.6744 DEBUG ++@@459,451;	
2016-01-03 18:52:23.6884 DEBUG ++@@137,134;	
2016-01-03 18:52:23.6884 DEBUG ++@@148,137;	
2016-01-03 18:52:23.6884 DEBUG ++@@400,399;	
2016-01-03 18:52:23.6884 DEBUG ++@@2,400;	
2016-01-03 18:52:23.7044 DEBUG ++@@14,11;	
2016-01-03 18:52:23.7044 DEBUG ++@@15,14;	
2016-01-03 18:52:23.7044 DEBUG ++@@11,15;	
2016-01-03 18:52:23.7044 DEBUG ++@@15,19;	
2016-01-03 18:52:23.7205 DEBUG ++@@19,14;	
2016-01-03 18:52:23.7205 DEBUG ++@@452,357;	
2016-01-03 18:52:23.7205 DEBUG ++@@11,10;	
2016-01-03 18:52:23.7205 DEBUG ++@@10,15;	
2016-01-03 18:52:23.7355 DEBUG ++@@10,1;	
2016-01-03 18:52:23.7355 DEBUG ++@@1,15;	
2016-01-03 18:52:23.7355 DEBUG ++@@10,9;	
2016-01-03 18:52:23.7355 DEBUG ++@@8,10;	
2016-01-03 18:52:23.7355 DEBUG ++@@11,8;	
2016-01-03 18:52:23.7515 DEBUG ++@@595,574;	
2016-01-03 18:52:23.7515 DEBUG ++@@399,595;	
2016-01-03 18:52:23.7515 DEBUG ++@@56,55;	
2016-01-03 18:52:23.7515 DEBUG ++@@87,56;	
2016-01-03 18:52:23.7515 DEBUG ++@@55,87;	
2016-01-03 18:52:23.7685 DEBUG ++@@87,97;	
2016-01-03 18:52:23.7685 DEBUG ++@@86,87;	
2016-01-03 18:52:23.7685 DEBUG ++@@97,86;	
2016-01-03 18:52:23.7685 DEBUG ++@@86,56;	
2016-01-03 18:52:23.7685 DEBUG ++@@85,86;	
2016-01-03 18:52:23.7835 DEBUG ++@@97,85;	
2016-01-03 18:52:23.7835 DEBUG ++@@66,85;	
2016-01-03 18:52:23.7835 DEBUG ++@@97,66;	
2016-01-03 18:52:23.7835 DEBUG ++@@573,574;	
2016-01-03 18:52:23.7975 DEBUG ++@@595,573;	
2016-01-03 18:52:23.7975 DEBUG ++@@554,573;	
2016-01-03 18:52:23.7975 DEBUG ++@@595,554;	
2016-01-03 18:52:23.7975 DEBUG ++@@565,569;	
2016-01-03 18:52:23.7975 DEBUG ++@@554,565;	
2016-01-03 18:52:23.8145 DEBUG ++@@569,554;	
2016-01-03 18:52:23.8145 DEBUG ++@@351,350;	
2016-01-03 18:52:23.8145 DEBUG ++@@358,351;	
2016-01-03 18:52:23.8145 DEBUG ++@@350,358;	
2016-01-03 18:52:23.8295 DEBUG ++@@452,355;	
2016-01-03 18:52:23.8295 DEBUG ++@@355,453;	
2016-01-03 18:52:23.8295 DEBUG ++@@451,355;	
2016-01-03 18:52:23.8295 DEBUG ++@@136,134;	
2016-01-03 18:52:23.8295 DEBUG ++@@137,136;	
2016-01-03 18:52:23.8453 DEBUG ++@@139,137;	
2016-01-03 18:52:23.8453 DEBUG ++@@148,139;	
2016-01-03 18:52:23.8453 DEBUG ++@@12,11;	
2016-01-03 18:52:23.8453 DEBUG ++@@14,12;	
2016-01-03 18:52:23.8453 DEBUG ++@@12,8;	
2016-01-03 18:52:23.8613 DEBUG ++@@8,28;	
2016-01-03 18:52:23.8613 DEBUG ++@@5,8;	
2016-01-03 18:52:23.8613 DEBUG ++@@28,5;	
2016-01-03 18:52:23.8613 DEBUG ++@@16,19;	
2016-01-03 18:52:23.8613 DEBUG ++@@15,16;	
2016-01-03 18:52:23.8773 DEBUG ++@@16,1;	
2016-01-03 18:52:23.8773 DEBUG ++@@17,19;	
2016-01-03 18:52:23.8773 DEBUG ++@@20,17;	
2016-01-03 18:52:23.8773 DEBUG ++@@17,14;	
2016-01-03 18:52:23.8773 DEBUG ++@@21,17;	
2016-01-03 18:52:23.8946 DEBUG ++@@450,434;	
2016-01-03 18:52:23.8946 DEBUG ++@@451,450;	
2016-01-03 18:52:23.8946 DEBUG ++@@434,451;	
2016-01-03 18:52:23.8946 DEBUG ++@@7,9;	
2016-01-03 18:52:23.9090 DEBUG ++@@10,7;	
2016-01-03 18:52:23.9090 DEBUG ++@@7,6;	
2016-01-03 18:52:23.9090 DEBUG ++@@8,7;	
2016-01-03 18:52:23.9090 DEBUG ++@@5,7;	
2016-01-03 18:52:23.9228 DEBUG ++@@5,6;	
2016-01-03 18:52:23.9228 DEBUG ++@@37,23;	
2016-01-03 18:52:23.9228 DEBUG ++@@131,37;	
2016-01-03 18:52:23.9228 DEBUG ++@@23,131;	
2016-01-03 18:52:23.9380 DEBUG ++@@132,131;	
2016-01-03 18:52:23.9380 DEBUG ++@@435,434;	
2016-01-03 18:52:23.9380 DEBUG ++@@450,435;	
2016-01-03 18:52:23.9380 DEBUG ++@@22,21;	
2016-01-03 18:52:23.9380 DEBUG ++@@23,22;	
2016-01-03 18:52:23.9571 DEBUG ++@@333,59;	
2016-01-03 18:52:23.9571 DEBUG ++@@384,333;	
2016-01-03 18:52:23.9571 DEBUG ++@@59,384;	
2016-01-03 18:52:23.9571 DEBUG ++@@302,149;	
2016-01-03 18:52:23.9713 DEBUG ++@@323,302;	
2016-01-03 18:52:23.9713 DEBUG ++@@149,323;	
2016-01-03 18:52:23.9713 DEBUG ++@@96,97;	
2016-01-03 18:52:23.9713 DEBUG ++@@87,96;	
2016-01-03 18:52:23.9860 DEBUG ++@@95,96;	
2016-01-03 18:52:23.9860 DEBUG ++@@87,95;	
2016-01-03 18:52:23.9860 DEBUG ++@@88,95;	
2016-01-03 18:52:23.9860 DEBUG ++@@87,88;	
2016-01-03 18:52:24.0009 DEBUG ++@@55,88;	
2016-01-03 18:52:24.0009 DEBUG ++@@89,88;	
2016-01-03 18:52:24.0009 DEBUG ++@@55,89;	
2016-01-03 18:52:24.0009 DEBUG ++@@56,89;	
2016-01-03 18:52:24.0009 DEBUG ++@@56,52;	
2016-01-03 18:52:24.0209 DEBUG ++@@52,89;	
2016-01-03 18:52:24.0209 DEBUG ++@@90,93;	
2016-01-03 18:52:24.0209 DEBUG ++@@89,90;	
2016-01-03 18:52:24.0209 DEBUG ++@@93,89;	
2016-01-03 18:52:24.0351 DEBUG ++@@94,95;	
2016-01-03 18:52:24.0351 DEBUG ++@@88,94;	
2016-01-03 18:52:24.0351 DEBUG ++@@93,94;	
2016-01-03 18:52:24.0351 DEBUG ++@@94,89;	
2016-01-03 18:52:24.0497 DEBUG ++@@94,47;	
2016-01-03 18:52:24.0497 DEBUG ++@@102,94;	
2016-01-03 18:52:24.0497 DEBUG ++@@47,102;	
2016-01-03 18:52:24.0497 DEBUG ++@@93,47;	
2016-01-03 18:52:24.0643 DEBUG ++@@85,58;	
2016-01-03 18:52:24.0643 DEBUG ++@@58,86;	
2016-01-03 18:52:24.0643 DEBUG ++@@63,58;	
2016-01-03 18:52:24.0643 DEBUG ++@@85,63;	
2016-01-03 18:52:24.0643 DEBUG ++@@97,110;	
2016-01-03 18:52:24.0820 DEBUG ++@@110,66;	
2016-01-03 18:52:24.0820 DEBUG ++@@112,110;	
2016-01-03 18:52:24.0820 DEBUG ++@@122,112;	
2016-01-03 18:52:24.0960 DEBUG ++@@110,122;	
2016-01-03 18:52:24.0960 DEBUG ++@@71,112;	
2016-01-03 18:52:24.0960 DEBUG ++@@122,71;	
2016-01-03 18:52:24.1100 DEBUG ++@@348,349;	
2016-01-03 18:52:24.1100 DEBUG ++@@149,348;	
2016-01-03 18:52:24.1100 DEBUG ++@@349,149;	
2016-01-03 18:52:24.1100 DEBUG ++@@350,349;	
2016-01-03 18:52:24.1100 DEBUG ++@@349,358;	
2016-01-03 18:52:24.1290 DEBUG ++@@349,148;	
2016-01-03 18:52:24.1290 DEBUG ++@@346,349;	
2016-01-03 18:52:24.1290 DEBUG ++@@350,346;	
2016-01-03 18:52:24.1290 DEBUG ++@@386,349;	
2016-01-03 18:52:24.1440 DEBUG ++@@346,386;	
2016-01-03 18:52:24.1440 DEBUG ++@@386,149;	
2016-01-03 18:52:24.1440 DEBUG ++@@386,323;	
2016-01-03 18:52:24.1440 DEBUG ++@@386,411;	
2016-01-03 18:52:24.1590 DEBUG ++@@411,323;	
2016-01-03 18:52:24.1590 DEBUG ++@@434,355;	
2016-01-03 18:52:24.1590 DEBUG ++@@433,355;	
2016-01-03 18:52:24.1590 DEBUG ++@@434,433;	
2016-01-03 18:52:24.1751 DEBUG ++@@573,575;	
2016-01-03 18:52:24.1751 DEBUG ++@@544,525;	
2016-01-03 18:52:24.1751 DEBUG ++@@585,544;	
2016-01-03 18:52:24.1751 DEBUG ++@@543,525;	
2016-01-03 18:52:24.1912 DEBUG ++@@544,543;	
2016-01-03 18:52:24.1912 DEBUG ++@@585,586;	
2016-01-03 18:52:24.1912 DEBUG ++@@586,544;	
2016-01-03 18:52:24.1912 DEBUG ++@@577,545;	
2016-01-03 18:52:24.2065 DEBUG ++@@586,577;	
2016-01-03 18:52:24.2065 DEBUG ++@@545,586;	
2016-01-03 18:52:24.2065 DEBUG ++@@545,547;	
2016-01-03 18:52:24.2065 DEBUG ++@@544,545;	
2016-01-03 18:52:24.2213 DEBUG ++@@547,544;	
2016-01-03 18:52:24.2213 DEBUG ++@@547,543;	
2016-01-03 18:52:24.2213 DEBUG ++@@585,576;	
2016-01-03 18:52:24.2349 DEBUG ++@@576,586;	
2016-01-03 18:52:24.2349 DEBUG ++@@575,576;	
2016-01-03 18:52:24.2349 DEBUG ++@@573,576;	
2016-01-03 18:52:24.2349 DEBUG ++@@570,573;	
2016-01-03 18:52:24.2509 DEBUG ++@@554,570;	
2016-01-03 18:52:24.2509 DEBUG ++@@569,570;	
2016-01-03 18:52:24.2509 DEBUG ++@@560,591;	
2016-01-03 18:52:24.2509 DEBUG ++@@553,560;	
2016-01-03 18:52:24.2689 DEBUG ++@@591,553;	
2016-01-03 18:52:24.2689 DEBUG ++@@428,434;	
2016-01-03 18:52:24.2689 DEBUG ++@@435,428;	
2016-01-03 18:52:24.2689 DEBUG ++@@428,433;	
2016-01-03 18:52:24.2849 DEBUG ++@@347,346;	
2016-01-03 18:52:24.2849 DEBUG ++@@350,347;	
2016-01-03 18:52:24.2849 DEBUG ++@@166,165;	
2016-01-03 18:52:24.2980 DEBUG ++@@188,166;	
2016-01-03 18:52:24.2980 DEBUG ++@@165,188;	
2016-01-03 18:52:24.2980 DEBUG ++@@167,166;	
